national_avg,count,sum_pop,sum_hispanic,sum_poverty,percent_pop,percent_hispanic,percent_poverty
above,669,3781688,1734806,797211,69.82042742784473,84.95085276199495,89.565615007988
below,253,1634618,307323,92875,30.179572572155266,15.049147238005043,10.434384992012008
