national_avg,count,sum_pop,sum_hispanic,sum_poverty,percent_pop,percent_hispanic,percent_poverty
above,3464,17009094,8345084,3743043,65.61750226577615,85.00814674428187,84.1590554148299
below,1738,8912487,1471721,704539,34.38249773422385,14.99185325571813,15.8409445851701
