national_avg,count,sum_pop,sum_hispanic,sum_poverty,percent_pop,percent_hispanic,percent_poverty
above,202,1054657,427027,205412,66.17086167423435,84.45711550708643,89.10771686744374
below,99,539182,78587,25109,33.82913832576565,15.542884492913567,10.892283132556253
