national_avg,count,sum_pop,sum_hispanic,sum_poverty,percent_pop,percent_hispanic,percent_poverty
above,3229,16658797,8194641,3654591,65.60739566105308,85.02368057335966,84.1729148922351
below,1615,8732848,1443428,687175,34.392604338946924,14.976319426640336,15.827085107764905
